Brand_ID,Brand_Name,Parent_Company,Brand_Origin_Country,Brand_Established_Year,Brand_Tier,Brand_Status,Brand_Support_Email,Brand_Support_Phone,Brand_Website_URL
B0001,Apple,Apple Group,USA,1973,Tier-1,Active,support@apple.com,-4796,https://www.apple.com
B0004,Nike,Nike Group,USA,1956,Tier-1,Active,support@nike.com,-2773,https://www.nike.com
B0009,Dell,Dell Group,USA,1950,Tier-1,Active,support@dell.com,-6897,https://www.dell.com
B0010,HP,HP Group,USA,1902,Tier-1,Active,support@hp.com,-7685,https://www.hp.com
B0013,Microsoft,Microsoft Group,USA,1993,Tier-1,Active,support@microsoft.com,-6301,https://www.microsoft.com
B0014,Google,Google Group,USA,1961,Tier-1,Active,support@google.com,-9879,https://www.google.com
B0026,ViewSonic,ViewSonic Group,USA,2007,Tier-2,Active,support@viewsonic.com,-3003,https://www.viewsonic.com
B0032,Vizio,Vizio Group,USA,1948,Tier-2,Active,support@vizio.com,-4528,https://www.vizio.com
B0034,Reebok,Reebok Group,USA,1913,Tier-2,Active,support@reebok.com,-7067,https://www.reebok.com
B0035,Under Armour,Under Armour Group,USA,1965,Tier-1,Active,support@underarmour.com,-3870,https://www.underarmour.com
B0036,New Balance,New Balance Group,USA,1977,Tier-1,Active,support@newbalance.com,-4820,https://www.newbalance.com
B0037,Skechers,Skechers Group,USA,1928,Tier-3,Active,support@skechers.com,-10762,https://www.skechers.com
B0038,Converse,Converse Group,USA,1901,Tier-2,Active,support@converse.com,-9027,https://www.converse.com
B0039,Vans,Vans Group,USA,1902,Tier-2,Active,support@vans.com,-4469,https://www.vans.com
B0041,Jordan,Jordan Group,USA,1905,Tier-1,Active,support@jordan.com,-3551,https://www.jordan.com
B0042,Timberland,Timberland Group,USA,1922,Tier-2,Active,support@timberland.com,-7439,https://www.timberland.com
B0048,Crocs,Crocs Group,USA,1932,Tier-3,Active,support@crocs.com,-2327,https://www.crocs.com
B0049,Hoka,Hoka Group,USA,1952,Tier-2,Active,support@hoka.com,-6874,https://www.hoka.com
B0053,Patagonia,Patagonia Group,USA,1905,Tier-1,Active,support@patagonia.com,-8725,https://www.patagonia.com
B0054,The North Face,The North Face Group,USA,1919,Tier-1,Active,support@thenorthface.com,-9915,https://www.thenorthface.com
B0055,Columbia,Columbia Group,USA,1948,Tier-2,Active,support@columbia.com,-7246,https://www.columbia.com
B0056,Marmot,Marmot Group,USA,1974,Tier-2,Active,support@marmot.com,-3013,https://www.marmot.com
B0062,Ralph Lauren,Ralph Lauren Group,USA,1992,Tier-1,Active,support@ralphlauren.com,-4348,https://www.ralphlauren.com
B0063,Tommy Hilfiger,Tommy Hilfiger Group,USA,1992,Tier-1,Active,support@tommyhilfiger.com,-4371,https://www.tommyhilfiger.com
B0064,Coach,Coach Group,USA,1976,Tier-1,Active,support@coach.com,-8461,https://www.coach.com
B0065,Michael Kors,Michael Kors Group,USA,1954,Tier-1,Active,support@michaelkors.com,-7684,https://www.michaelkors.com
B0066,Kate Spade,Kate Spade Group,USA,1936,Tier-1,Active,support@katespade.com,-5915,https://www.katespade.com
B0067,Tory Burch,Tory Burch Group,USA,1937,Tier-1,Active,support@toryburch.com,-3406,https://www.toryburch.com
B0080,Coca-Cola,Coca-Cola Group,USA,1943,Tier-1,Active,support@coca-cola.com,-9464,https://www.coca-cola.com
B0081,PepsiCo,PepsiCo Group,USA,1902,Tier-1,Active,support@pepsico.com,-10903,https://www.pepsico.com
B0084,Kraft Heinz,Kraft Heinz Group,USA,1930,Tier-2,Active,support@kraftheinz.com,-2978,https://www.kraftheinz.com
B0085,General Mills,General Mills Group,USA,1932,Tier-2,Active,support@generalmills.com,-2567,https://www.generalmills.com
B0086,Mondelez,Mondelez Group,USA,1958,Tier-2,Active,support@mondelez.com,-6663,https://www.mondelez.com
B0087,Mars,Mars Group,USA,1943,Tier-2,Active,support@mars.com,-8139,https://www.mars.com
B0088,Kellogg's,Kellogg's Group,USA,1926,Tier-2,Active,support@kelloggs.com,-4856,https://www.kelloggs.com
B0089,Pepsi,Pepsi Group,USA,1966,Tier-2,Active,support@pepsi.com,-4916,https://www.pepsi.com
B0090,Starbucks,Starbucks Group,USA,1971,Tier-1,Active,support@starbucks.com,-2629,https://www.starbucks.com
B0091,McDonald's,McDonald's Group,USA,1905,Tier-1,Active,support@mcdonalds.com,-3583,https://www.mcdonalds.com
B0092,Subway,Subway Group,USA,1938,Tier-2,Active,support@subway.com,-11022,https://www.subway.com
B0093,KFC,KFC Group,USA,1991,Tier-2,Active,support@kfc.com,-2718,https://www.kfc.com
B0094,Burger King,Burger King Group,USA,1989,Tier-2,Active,support@burgerking.com,-5610,https://www.burgerking.com
B0095,Pizza Hut,Pizza Hut Group,USA,1949,Tier-2,Active,support@pizzahut.com,-8445,https://www.pizzahut.com
B0096,Domino's,Domino's Group,USA,1996,Tier-2,Active,support@dominos.com,-7234,https://www.dominos.com
B0097,Dunkin',Dunkin' Group,USA,1930,Tier-2,Active,support@dunkin.com,-5832,https://www.dunkin.com
B0100,Anheuser-Busch,Anheuser-Busch Group,USA,1956,Tier-1,Active,support@anheuser-busch.com,-10202,https://www.anheuser-busch.com
B0105,Tyson Foods,Tyson Foods Group,USA,1903,Tier-1,Active,support@tysonfoods.com,-9916,https://www.tysonfoods.com
B0106,Cargill,Cargill Group,USA,1963,Tier-2,Active,support@cargill.com,-10393,https://www.cargill.com
B0107,Archer Daniels Midland,Archer Daniels Midland Group,USA,1954,Tier-2,Active,support@archerdanielsmidland.com,-10827,https://www.archerdanielsmidland.com
B0108,Bunge,Bunge Group,USA,1911,Tier-2,Active,support@bunge.com,-5169,https://www.bunge.com
B0110,Whirlpool,Whirlpool Group,USA,1929,Tier-2,Active,support@whirlpool.com,-7481,https://www.whirlpool.com
