ProductID,ProductName
1,Laptop_001
2,Mobile_002
3,Keyboard_003
4,Mouse_004
5,Monitor_005
6,Printer_006
7,Tablet_007
8,Headphone_008
9,Camera_009
10,Speaker_010
11,Laptop_011
12,Mobile_012
13,Keyboard_013
14,Mouse_014
15,Monitor_015
16,Printer_016
17,Tablet_017
18,Headphone_018
19,Camera_019
20,Speaker_020
21,Laptop_021
22,Mobile_022
23,Keyboard_023
24,Mouse_024
25,Monitor_025
26,Printer_026
27,Tablet_027
28,Headphone_028
29,Camera_029
30,Speaker_030
31,Laptop_031
32,Mobile_032
33,Keyboard_033
34,Mouse_034
35,Monitor_035
36,Printer_036
37,Tablet_037
38,Headphone_038
39,Camera_039
40,Speaker_040
41,Laptop_041
42,Mobile_042
43,Keyboard_043
44,Mouse_044
45,Monitor_045
46,Printer_046
47,Tablet_047
48,Headphone_048
49,Camera_049
50,Speaker_050
51,Laptop_051
52,Mobile_052
53,Keyboard_053
54,Mouse_054
55,Monitor_055
56,Printer_056
57,Tablet_057
58,Headphone_058
59,Camera_059
60,Speaker_060
61,Laptop_061
62,Mobile_062
63,Keyboard_063
64,Mouse_064
65,Monitor_065
66,Printer_066
67,Tablet_067
68,Headphone_068
69,Camera_069
70,Speaker_070
71,Laptop_071
72,Mobile_072
73,Keyboard_073
74,Mouse_074
75,Monitor_075
76,Printer_076
77,Tablet_077
78,Headphone_078
79,Camera_079
80,Speaker_080
81,Laptop_081
82,Mobile_082
83,Keyboard_083
84,Mouse_084
85,Monitor_085
86,Printer_086
87,Tablet_087
88,Headphone_088
89,Camera_089
90,Speaker_090
91,Laptop_091
92,Mobile_092
93,Keyboard_093
94,Mouse_094
95,Monitor_095
96,Printer_096
97,Tablet_097
98,Headphone_098
99,Camera_099
100,Speaker_100
