Export_Log_ID,Reporting_Date,Settlement_Cycle_Code,Gross_Sales_Volume,Total_COGS,Tax_Component,Net_Profit_Amount,Corporate_Tax_Zone,Reconciliation_Match_Flag,Last_Sync_Timestamp,created_at,updated_at,source_system,etl_load_timestamp,record_version,is_active
EXP00000001,2023-01-01,DAILY,299923.01,221471.60,21727.39,56724.02,US_EAST,Y,2023-01-01T23:59:00,2023-01-01T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.485897,1,True
EXP00000002,2023-01-02,DAILY,298422.54,225758.22,20972.97,51691.35,EU_CENTRAL,Y,2023-01-02T23:59:00,2023-01-02T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.485897,1,True
EXP00000003,2023-01-03,DAILY,326049.72,199355.25,22744.13,103950.34,APAC,Y,2023-01-03T23:59:00,2023-01-03T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.485897,1,True
EXP00000004,2023-01-04,DAILY,395145.44,249550.02,26992.46,118602.96,EU_CENTRAL,Y,2023-01-04T23:59:00,2023-01-04T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.486885,1,True
EXP00000005,2023-01-05,DAILY,333400.23,230493.78,22066.88,80839.57,EU_CENTRAL,Y,2023-01-05T23:59:00,2023-01-05T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.486885,1,True
EXP00000006,2023-01-06,DAILY,318088.47,250727.74,23493.76,43866.97,LATAM,Y,2023-01-06T23:59:00,2023-01-06T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.486885,1,True
EXP00000007,2023-01-07,DAILY,413501.01,260229.70,26104.28,127167.03,US_WEST,Y,2023-01-07T23:59:00,2023-01-07T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.486885,1,True
EXP00000008,2023-01-08,DAILY,382809.24,266403.19,26770.61,89635.44,EU_CENTRAL,Y,2023-01-08T23:59:00,2023-01-08T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.486885,1,True
EXP00000009,2023-01-09,DAILY,430857.86,267147.05,30009.78,133701.03,US_EAST,Y,2023-01-09T23:59:00,2023-01-09T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.486885,1,True
EXP00000010,2023-01-10,DAILY,356424.71,258502.67,25300.04,72622.00,EU_CENTRAL,Y,2023-01-10T23:59:00,2023-01-10T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.486885,1,True
EXP00000011,2023-01-11,DAILY,317272.09,244758.48,21697.24,50816.37,EU_CENTRAL,Y,2023-01-11T23:59:00,2023-01-11T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.486885,1,True
EXP00000012,2023-01-12,DAILY,333769.68,237731.53,23451.78,72586.37,LATAM,Y,2023-01-12T23:59:00,2023-01-12T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.487896,1,True
EXP00000013,2023-01-13,DAILY,392677.43,252688.57,25907.70,114081.16,EU_CENTRAL,Y,2023-01-13T23:59:00,2023-01-13T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.487896,1,True
EXP00000014,2023-01-14,DAILY,339595.24,261527.43,24282.85,53784.96,US_EAST,Y,2023-01-14T23:59:00,2023-01-14T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.487896,1,True
EXP00000015,2023-01-15,DAILY,344239.05,238775.02,22109.09,83354.94,APAC,Y,2023-01-15T23:59:00,2023-01-15T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.487896,1,True
EXP00000016,2023-01-16,DAILY,379236.09,241873.47,26004.70,111357.92,LATAM,Y,2023-01-16T23:59:00,2023-01-16T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.487896,1,True
EXP00000017,2023-01-17,DAILY,337031.04,264354.69,23230.90,49445.45,EU_CENTRAL,Y,2023-01-17T23:59:00,2023-01-17T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.487896,1,True
EXP00000018,2023-01-18,DAILY,384196.43,258202.26,24677.94,101316.23,EU_CENTRAL,Y,2023-01-18T23:59:00,2023-01-18T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.487896,1,True
EXP00000019,2023-01-19,DAILY,341492.60,248179.89,23449.96,69862.75,APAC,Y,2023-01-19T23:59:00,2023-01-19T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.487896,1,True
EXP00000020,2023-01-20,DAILY,418347.88,328747.16,31036.93,58563.79,EU_CENTRAL,Y,2023-01-20T23:59:00,2023-01-20T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.487896,1,True
EXP00000021,2023-01-21,DAILY,386001.06,279184.27,25444.02,81372.77,US_WEST,Y,2023-01-21T23:59:00,2023-01-21T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.487896,1,True
EXP00000022,2023-01-22,DAILY,338200.48,253640.60,23606.93,60952.95,APAC,Y,2023-01-22T23:59:00,2023-01-22T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.488881,1,True
EXP00000023,2023-01-23,DAILY,350914.53,264076.01,24637.14,62201.38,APAC,Y,2023-01-23T23:59:00,2023-01-23T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.488881,1,True
EXP00000024,2023-01-24,DAILY,363878.15,236537.22,24934.08,102406.85,US_EAST,Y,2023-01-24T23:59:00,2023-01-24T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.488881,1,True
EXP00000025,2023-01-25,DAILY,331174.69,248896.33,23922.29,58356.07,EU_CENTRAL,Y,2023-01-25T23:59:00,2023-01-25T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.488881,1,True
EXP00000026,2023-01-26,DAILY,334187.28,243911.53,22370.37,67905.38,LATAM,Y,2023-01-26T23:59:00,2023-01-26T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.488881,1,True
EXP00000027,2023-01-27,DAILY,386432.22,252160.84,26961.34,107310.04,LATAM,Y,2023-01-27T23:59:00,2023-01-27T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.488881,1,True
EXP00000028,2023-01-28,DAILY,361202.41,241171.83,23372.03,96658.55,US_WEST,Y,2023-01-28T23:59:00,2023-01-28T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.488881,1,True
EXP00000029,2023-01-29,DAILY,365879.62,272308.58,23737.64,69833.40,US_EAST,Y,2023-01-29T23:59:00,2023-01-29T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.488881,1,True
EXP00000030,2023-01-30,DAILY,329164.38,223972.13,21856.77,83335.48,LATAM,Y,2023-01-30T23:59:00,2023-01-30T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.488881,1,True
EXP00000031,2023-01-31,DAILY,320450.04,234514.10,22120.76,63815.18,APAC,Y,2023-01-31T23:59:00,2023-01-31T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.488881,1,True
EXP00000032,2023-02-01,DAILY,342310.58,215627.11,24725.02,101958.45,LATAM,Y,2023-02-01T23:59:00,2023-02-01T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.489908,1,True
EXP00000033,2023-02-02,DAILY,370956.10,247251.90,26114.39,97589.81,US_WEST,Y,2023-02-02T23:59:00,2023-02-02T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.489908,1,True
EXP00000034,2023-02-03,DAILY,330466.68,231770.10,22232.20,76464.38,US_WEST,Y,2023-02-03T23:59:00,2023-02-03T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.489908,1,True
EXP00000035,2023-02-04,DAILY,388316.88,233127.96,25168.45,130020.47,EU_CENTRAL,Y,2023-02-04T23:59:00,2023-02-04T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.489908,1,True
EXP00000036,2023-02-05,DAILY,335165.77,257820.81,22987.19,54357.77,US_EAST,Y,2023-02-05T23:59:00,2023-02-05T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.489908,1,True
EXP00000037,2023-02-06,DAILY,355368.95,252981.77,24756.69,77630.49,US_EAST,Y,2023-02-06T23:59:00,2023-02-06T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.489908,1,True
EXP00000038,2023-02-07,DAILY,383654.19,301040.48,25657.14,56956.57,US_WEST,Y,2023-02-07T23:59:00,2023-02-07T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.489908,1,True
EXP00000039,2023-02-08,DAILY,348960.84,221386.88,22936.53,104637.43,EU_CENTRAL,Y,2023-02-08T23:59:00,2023-02-08T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.489908,1,True
